"","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G3"
"161","M",17,0,0,0,"5th-9th grade","primary education",1,3,0,"15-30mins","<2hrs",2,0,0,0,1,1,0,1,1,"not sure","not sure","low","low","low","very high",0,7,0
"162","M",15,0,1,0,"secondary education","5th-9th grade",3,3,0,"15-30mins","2-5hrs",2,1,1,0,0,1,1,1,1,"good","high","high","very low","high","not sure",6,5,7
"163","M",16,1,0,0,"primary education","5th-9th grade",3,3,0,"15-30mins","<2hrs",1,0,0,0,1,1,1,0,0,"good","high","high","low","high","very high",0,7,0
"164","M",17,1,1,0,"primary education","secondary education",1,2,1,"<15mins","<2hrs",0,0,0,0,0,1,0,1,0,"excellent","not sure","not sure","very low","high","low",2,10,10
"165","M",17,0,0,0,"primary education","primary education",3,2,0,">1hr","2-5hrs",3,0,0,0,1,1,0,0,1,"excellent","not sure","very high","very low","very high","very high",0,5,7
"166","M",16,1,1,0,"secondary education","5th-9th grade",2,2,0,"15-30mins","<2hrs",1,0,1,0,1,0,0,0,0,"good","very high","low","very low","very low","low",16,12,12
"167","M",16,1,1,0,"5th-9th grade","5th-9th grade",3,3,1,"<15mins","2-5hrs",0,0,0,0,0,1,0,1,0,"good","not sure","very high","low","high","high",4,10,10
"168","F",16,1,1,0,"higher education","5th-9th grade",4,2,1,"<15mins","2-5hrs",0,0,0,1,0,1,1,1,1,"good","low","not sure","very low","very low","not sure",0,14,16
"169","F",16,1,1,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins","2-5hrs",0,0,1,1,0,0,1,1,0,"excellent","very low","very high","very low","very low","high",0,6,0
"170","F",16,1,1,0,"higher education","higher education",4,4,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,1,"good","high","low","very low","very low","not sure",0,14,14
"171","M",16,1,1,0,"secondary education","higher education",3,3,1,"30mins-1hr","<2hrs",2,0,1,0,1,0,1,1,0,"not sure","high","very high","low","high","low",0,6,0
"172","M",16,1,1,0,"primary education","none",3,3,0,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,1,"good","not sure","low","very low","very low","not sure",2,13,16
"173","M",17,1,0,0,"higher education","higher education",0,3,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"good","high","high","very low","not sure","very high",0,13,10
"174","F",16,1,1,0,"primary education","secondary education",1,2,0,"<15mins","2-5hrs",3,0,0,0,1,0,1,1,1,"good","not sure","very high","very low","very low","not sure",0,8,0
"175","F",16,1,0,0,"secondary education","secondary education",3,3,0,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,0,"good","high","very high","very low","very low","high",4,10,9
"176","M",17,1,0,0,"higher education","secondary education",0,3,0,"15-30mins","2-5hrs",0,0,0,1,1,1,1,1,0,"good","high","high","high","high","high",4,10,9
"177","F",16,1,1,0,"5th-9th grade","5th-9th grade",2,3,0,"15-30mins","2-5hrs",0,0,0,1,1,0,1,1,0,"not sure","high","high","very low","high","very high",2,13,11
"178","M",17,1,1,0,"secondary education","secondary education",3,3,1,"<15mins","2-5hrs",0,0,0,0,1,0,1,1,0,"good","not sure","high","very low","high","high",4,6,6
"179","M",16,0,1,0,"higher education","5th-9th grade",0,2,0,"<15mins","<2hrs",0,0,1,0,1,1,1,1,1,"good","not sure","not sure","not sure","high","not sure",10,10,9
"180","M",17,1,1,0,"higher education","secondary education",3,3,0,"<15mins","2-5hrs",0,0,1,0,1,1,1,1,1,"excellent","low","not sure","very low","very low","low",4,10,11
"181","M",16,1,1,0,"higher education","secondary education",0,3,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"not sure","high","not sure","low","not sure","not sure",10,9,8
"182","M",16,1,1,0,"secondary education","secondary education",2,3,0,"<15mins","2-5hrs",0,0,0,1,1,1,1,1,1,"good","low","not sure","very low","low","not sure",2,12,12
"183","F",17,1,1,0,"5th-9th grade","higher education",2,2,1,"<15mins","2-5hrs",0,0,1,0,1,1,1,0,0,"excellent","high","low","low","not sure","very high",0,16,17
"184","F",17,1,0,0,"secondary education","secondary education",3,3,0,"<15mins","2-5hrs",0,0,1,0,1,1,1,1,1,"excellent","not sure","not sure","low","not sure","very low",56,9,8
"185","F",16,1,1,0,"secondary education","5th-9th grade",3,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"very bad","low","low","very low","low","very low",14,12,12
"186","M",17,1,1,0,"secondary education","secondary education",2,2,0,"<15mins","2-5hrs",0,0,1,0,1,1,1,1,1,"good","not sure","high","low","not sure","high",12,12,11
"187","M",16,1,1,0,"primary education","5th-9th grade",2,2,0,"<15mins","<2hrs",0,0,1,1,1,1,1,1,1,"not sure","not sure","not sure","very low","low","not sure",2,11,11
"188","M",16,1,0,0,"5th-9th grade","primary education",3,3,0,"<15mins","2-5hrs",0,0,0,1,1,1,1,1,1,"good","low","not sure","very low","low","very high",0,15,15
"189","F",17,1,1,1,"secondary education","secondary education",4,3,0,"<15mins","2-5hrs",0,0,1,0,0,0,1,1,1,"not sure","not sure","not sure","very low","not sure","not sure",6,8,9
"190","M",17,0,1,0,"primary education","5th-9th grade",1,3,0,"<15mins","2-5hrs",0,0,0,0,0,1,1,0,0,"not sure","very low","not sure","very low","very high","not sure",4,8,10
"191","F",16,1,1,0,"5th-9th grade","secondary education",2,2,0,"<15mins","2-5hrs",0,0,0,0,0,1,1,1,0,"good","not sure","not sure","very low","very low","low",10,11,13
"192","F",17,1,1,0,"primary education","primary education",1,2,0,"<15mins","2-5hrs",0,0,0,0,1,1,1,1,0,"excellent","not sure","not sure","very low","very low","not sure",0,8,9
"193","M",17,1,1,0,"primary education","5th-9th grade",1,2,2,"15-30mins","2-5hrs",0,0,0,1,1,0,1,1,0,"good","high","high","high","very high","very high",12,7,8
"194","M",16,0,1,0,"secondary education","secondary education",2,2,0,"<15mins","<2hrs",0,0,1,0,1,1,1,1,0,"good","not sure","low","not sure","high","very high",8,8,10
"195","M",16,1,1,0,"5th-9th grade","secondary education",3,3,1,"15-30mins","<2hrs",0,0,0,0,0,1,1,1,0,"excellent","not sure","not sure","very low","very low","not sure",0,13,14
"196","F",17,1,0,0,"5th-9th grade","higher education",2,2,1,"<15mins","2-5hrs",0,0,0,0,1,1,1,1,1,"good","not sure","low","very low","very low","very high",0,14,15
"197","M",17,1,1,0,"higher education","higher education",2,0,0,"<15mins","<2hrs",0,0,0,0,0,1,1,1,0,"excellent","low","not sure","very low","low","very high",4,17,16
"198","M",16,0,0,0,"secondary education","secondary education",0,3,1,"30mins-1hr","<2hrs",0,0,1,1,1,1,1,1,0,"not sure","not sure","high","not sure","very high","not sure",8,9,10
"199","F",17,1,1,0,"higher education","higher education",2,0,0,"15-30mins","<2hrs",1,0,1,0,0,1,1,1,0,"good","low","high","low","not sure","low",24,18,18
"200","F",16,1,0,0,"higher education","higher education",0,0,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"good","very high","low","very low","low","not sure",0,9,10
"201","F",16,1,1,0,"higher education","secondary education",4,3,0,"<15mins","2-5hrs",0,0,1,0,1,1,1,1,0,"good","not sure","very high","very low","very high","low",2,16,16
"202","F",16,1,1,0,"5th-9th grade","secondary education",3,3,0,"<15mins","2-5hrs",0,1,1,1,1,1,1,0,0,"good","high","not sure","very low","not sure","high",6,8,10
"203","F",17,1,1,0,"primary education","primary education",3,3,0,"<15mins","2-5hrs",0,0,1,1,0,0,1,0,0,"good","high","high","very low","not sure","very low",4,9,10
"204","F",17,0,1,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins","<2hrs",0,0,1,0,0,1,1,1,0,"excellent","not sure","low","very low","low","not sure",18,7,6
"205","F",16,0,1,0,"5th-9th grade","5th-9th grade",2,2,0,"15-30mins",">10hrs",0,0,1,1,1,0,1,1,0,"excellent","not sure","very high","very low","very low","very high",6,10,11
"206","F",17,1,1,0,"secondary education","higher education",1,2,0,"<15mins","5-10hrs",1,0,1,1,0,1,1,1,1,"good","high","not sure","not sure","high","very high",28,10,9
"207","F",16,1,1,1,"secondary education","primary education",2,3,0,"<15mins","2-5hrs",3,0,1,1,0,1,1,1,0,"bad","not sure","not sure","low","low","high",5,7,7
"208","F",16,1,1,0,"higher education","secondary education",0,3,0,"<15mins","2-5hrs",0,0,0,1,1,1,1,1,1,"very bad","not sure","low","very low","very low","very low",10,11,13
"209","F",16,1,1,0,"primary education","primary education",1,3,0,"15-30mins","<2hrs",0,0,1,1,0,1,1,0,0,"good","not sure","low","very low","high","very high",6,9,10
"210","F",17,0,1,0,"higher education","secondary education",0,3,0,"15-30mins","5-10hrs",0,0,1,1,1,1,1,1,1,"good","high","low","very low","very low","high",6,7,7
"211","F",19,1,1,0,"secondary education","secondary education",3,3,2,"<15mins",">10hrs",0,0,1,1,1,1,1,1,0,"good","not sure","not sure","very low","low","not sure",10,8,8
"212","M",17,1,0,0,"higher education","higher education",2,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,1,"excellent","not sure","very high","high","very high","not sure",13,12,13
"213","F",16,1,1,1,"5th-9th grade","5th-9th grade",3,3,0,"<15mins","2-5hrs",0,1,1,1,0,1,1,1,0,"not sure","not sure","high","very low","very low","high",0,12,14
"214","M",18,1,1,0,"5th-9th grade","5th-9th grade",2,3,0,"<15mins","2-5hrs",1,0,1,1,1,1,1,1,0,"good","high","high","low","high","very high",15,6,8
"215","F",17,0,0,0,"higher education","higher education",2,3,0,"<15mins","<2hrs",0,0,1,1,0,1,1,0,0,"excellent","low","very low","very low","low","not sure",12,8,10
"216","F",17,1,0,0,"secondary education","5th-9th grade",3,3,0,"15-30mins","2-5hrs",0,0,0,1,0,1,1,1,0,"good","high","high","very low","not sure","very low",2,14,15
"217","F",17,1,1,0,"higher education","secondary education",3,3,0,"<15mins","2-5hrs",2,0,0,1,0,1,1,1,1,"not sure","high","very high","low","high","very low",22,6,4
"218","M",18,1,0,0,"secondary education","secondary education",2,4,1,"<15mins","2-5hrs",1,0,1,1,0,1,1,1,0,"not sure","low","high","low","high","high",13,6,8
"219","F",17,1,1,0,"5th-9th grade","secondary education",1,3,1,"15-30mins","<2hrs",0,0,1,1,0,1,1,0,0,"not sure","not sure","not sure","very low","high","not sure",3,7,8
"220","F",17,1,1,0,"5th-9th grade","5th-9th grade",1,1,0,"<15mins","5-10hrs",0,0,1,1,1,1,1,1,0,"good","not sure","not sure","very low","very low","high",4,9,10
"221","F",17,0,1,0,"5th-9th grade","primary education",1,2,0,"15-30mins","2-5hrs",0,0,1,0,1,1,1,1,0,"good","low","very high","very low","low","very high",2,6,6
"222","F",17,1,1,0,"primary education","primary education",1,3,0,"<15mins","5-10hrs",1,0,1,0,1,1,1,0,1,"good","not sure","high","very low","very low","very high",0,6,0
"223","F",16,1,1,0,"5th-9th grade","secondary education",2,0,0,"<15mins","2-5hrs",0,1,0,0,0,1,1,1,0,"bad","not sure","very low","very low","very low","not sure",2,16,17
"224","M",18,1,1,0,"5th-9th grade","5th-9th grade",3,3,0,"15-30mins","2-5hrs",0,0,1,1,0,1,1,1,0,"not sure","not sure","not sure","very high","very high","high",0,12,13
"225","F",16,1,1,0,"higher education","higher education",0,2,0,"<15mins","5-10hrs",0,0,1,0,1,0,1,1,0,"excellent","not sure","low","very low","very low","very high",0,13,14
"226","F",18,0,1,0,"secondary education","primary education",3,3,0,"<15mins","2-5hrs",1,0,0,0,1,1,1,1,1,"excellent","not sure","not sure","very low","very low","high",16,9,7
"227","F",17,1,1,0,"secondary education","5th-9th grade",3,3,0,"<15mins","2-5hrs",0,0,0,0,1,0,1,1,0,"excellent","not sure","high","very low","not sure","not sure",10,16,15
"228","M",17,1,0,0,"5th-9th grade","secondary education",2,2,1,"<15mins","2-5hrs",0,0,1,1,0,0,1,1,0,"excellent","not sure","not sure","very low","not sure","not sure",2,12,12
"229","M",18,1,0,0,"5th-9th grade","primary education",1,3,0,">1hr","2-5hrs",0,1,1,1,1,1,1,1,1,"good","not sure","low","high","very high","not sure",14,10,9
"230","F",17,1,1,1,"5th-9th grade","primary education",3,3,0,"15-30mins","5-10hrs",0,0,0,0,1,1,1,1,1,"not sure","low","not sure","very low","low","not sure",10,12,12
"231","F",17,1,0,0,"higher education","secondary education",4,3,1,"<15mins","2-5hrs",0,0,0,0,1,1,1,1,1,"not sure","low","not sure","very low","low","not sure",14,13,14
"232","M",17,0,1,0,"5th-9th grade","5th-9th grade",3,3,1,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,0,"good","very high","low","very low","very low","very low",4,11,11
"233","M",17,1,1,0,"higher education","higher education",0,0,0,"<15mins","2-5hrs",0,1,1,0,1,1,1,1,1,"good","very high","very high","very low","not sure","low",14,11,9
"234","M",16,1,1,0,"higher education","higher education",4,3,1,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"good","low","high","low","high","very low",2,14,13
"235","M",16,1,0,0,"primary education","primary education",3,3,0,"15-30mins","2-5hrs",0,0,1,1,0,1,1,1,0,"not sure","high","low","very low","very low","very high",18,9,6
"236","M",16,1,1,0,"secondary education","5th-9th grade",1,3,0,"15-30mins","5-10hrs",0,0,0,0,1,1,1,1,1,"excellent","not sure","not sure","very low","not sure","low",10,11,10
"237","M",17,1,0,0,"5th-9th grade","5th-9th grade",3,3,1,"<15mins","2-5hrs",0,0,0,1,1,0,1,1,1,"good","high","low","very high","very high","high",4,14,13
"238","F",16,1,1,0,"5th-9th grade","primary education",3,3,0,"<15mins","<2hrs",0,0,0,0,0,1,1,1,1,"good","very high","low","very low","very low","very high",20,13,12
"239","F",17,0,1,0,"5th-9th grade","primary education",1,2,0,"30mins-1hr","2-5hrs",0,0,0,0,1,1,1,0,0,"bad","very low","very low","very low","very low","not sure",2,13,11
"240","M",18,1,1,0,"5th-9th grade","5th-9th grade",3,2,1,"<15mins","2-5hrs",1,0,0,0,0,1,0,1,0,"excellent","very high","high","not sure","very high","low",0,7,0
"241","M",17,1,0,0,"higher education","secondary education",4,3,0,"15-30mins","2-5hrs",0,0,0,0,1,1,1,1,1,"bad","very high","very high","very low","high","very high",14,12,12
"242","M",17,0,0,1,"higher education","higher education",0,3,0,"15-30mins","2-5hrs",0,0,1,1,0,1,1,1,0,"not sure","not sure","not sure","low","not sure","high",2,10,12
"243","M",16,1,0,0,"higher education","secondary education",0,3,0,"<15mins","<2hrs",0,0,0,0,1,0,1,1,0,"excellent","high","very high","very low","very low","not sure",0,6,0
"244","M",16,1,1,0,"higher education","higher education",2,2,0,"<15mins","<2hrs",0,0,0,0,1,1,1,1,0,"excellent","not sure","low","very low","low","very high",0,13,12
"245","F",18,1,1,0,"5th-9th grade","primary education",3,3,2,"15-30mins","5-10hrs",0,0,1,1,0,0,1,1,1,"good","high","high","very low","very low","not sure",0,7,0
"246","M",16,1,1,0,"5th-9th grade","primary education",3,3,0,"30mins-1hr","<2hrs",0,0,0,0,0,1,1,1,0,"good","not sure","not sure","very low","very low","high",6,18,18
"247","M",17,1,1,0,"5th-9th grade","secondary education",3,3,1,"15-30mins","<2hrs",0,0,0,0,0,1,1,1,0,"excellent","low","low","very low","very low","low",4,12,13
"248","M",22,1,1,0,"secondary education","primary education",2,2,0,"<15mins","<2hrs",3,0,0,0,0,0,0,1,1,"excellent","high","very high","very high","very high","very low",16,6,8
"249","M",18,0,0,0,"secondary education","secondary education",3,2,0,"<15mins","2-5hrs",1,0,1,0,0,1,1,1,1,"good","not sure","not sure","very low","not sure","very high",8,3,5
"250","M",16,1,1,0,"none","5th-9th grade",3,3,0,"<15mins","<2hrs",0,0,0,1,0,0,1,1,0,"good","not sure","low","low","high","very high",0,13,15
"251","M",18,1,1,0,"secondary education","5th-9th grade",2,3,0,"15-30mins","<2hrs",1,0,0,0,0,1,0,1,0,"good","high","very high","low","high","very high",0,6,8
"252","M",16,1,1,0,"secondary education","secondary education",1,3,2,"30mins-1hr","2-5hrs",0,1,1,0,0,0,1,1,0,"excellent","not sure","not sure","very low","not sure","low",6,7,10
"253","M",18,1,1,0,"5th-9th grade","primary education",2,2,0,"<15mins","<2hrs",1,0,0,0,0,0,0,1,0,"not sure","low","very high","low","very high","very high",4,6,8
"254","M",16,0,1,0,"5th-9th grade","primary education",3,3,0,"15-30mins","<2hrs",0,0,0,0,1,0,1,0,0,"not sure","not sure","low","very low","not sure","not sure",0,8,8
"255","M",17,0,1,0,"5th-9th grade","primary education",3,3,0,"<15mins","<2hrs",0,0,0,0,0,0,1,1,0,"good","high","low","low","high","very high",0,8,12
"256","M",17,1,0,0,"primary education","primary education",4,3,0,"15-30mins","<2hrs",1,0,1,0,1,1,1,1,0,"good","high","high","very low","low","very high",2,7,8
"257","F",17,1,0,0,"higher education","5th-9th grade",0,2,0,"<15mins",">10hrs",0,0,1,1,1,1,1,1,0,"good","low","not sure","very low","very low","high",6,14,13
"258","M",19,1,0,1,"higher education","secondary education",2,1,0,"<15mins","2-5hrs",0,0,1,0,0,1,1,1,0,"good","not sure","very low","very low","very low","very low",12,11,11
"259","M",18,1,1,0,"5th-9th grade","primary education",3,3,0,"<15mins","2-5hrs",0,0,0,0,1,1,1,1,0,"excellent","low","high","very low","low","high",8,15,14
"260","F",17,1,0,0,"5th-9th grade","5th-9th grade",2,2,1,"<15mins",">10hrs",0,0,0,1,1,1,1,1,1,"not sure","high","very low","very low","very low","low",0,10,0
"261","F",18,1,1,0,"higher education","secondary education",2,3,1,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,1,"not sure","very low","low","very low","not sure","low",21,17,18
"262","M",18,1,1,0,"higher education","secondary education",0,3,0,"<15mins","2-5hrs",0,0,1,1,0,0,1,1,0,"good","not sure","low","very low","very low","not sure",2,8,8
"263","M",18,0,1,0,"secondary education","5th-9th grade",3,3,0,"<15mins","5-10hrs",0,0,0,0,1,0,1,0,0,"excellent","not sure","low","very low","very low","not sure",1,13,12
"264","F",17,1,1,0,"secondary education","secondary education",3,3,0,"<15mins","5-10hrs",0,0,0,0,1,0,1,0,0,"not sure","low","not sure","very low","very low","high",4,10,9
"265","F",18,1,1,0,"5th-9th grade","5th-9th grade",1,2,0,"<15mins","5-10hrs",0,0,1,1,1,1,1,1,1,"good","not sure","not sure","very low","very low","not sure",0,9,0
"266","M",18,0,0,1,"secondary education","higher education",3,3,0,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,0,"good","low","very high","not sure","high","very low",13,17,17
"267","M",17,1,1,0,"secondary education","primary education",2,3,0,"<15mins","2-5hrs",0,0,0,1,1,1,1,1,1,"excellent","high","high","not sure","high","very high",2,9,10
"268","F",18,0,1,0,"higher education","higher education",0,3,0,"15-30mins","2-5hrs",0,0,0,1,1,1,1,1,0,"good","not sure","high","low","low","high",8,12,11
"269","M",18,1,1,0,"higher education","5th-9th grade",4,3,1,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,1,"excellent","high","very high","very low","not sure","very high",10,10,10
"270","F",18,0,1,0,"5th-9th grade","primary education",3,3,0,"15-30mins","2-5hrs",0,0,1,0,0,1,0,1,1,"good","not sure","very high","very low","low","not sure",0,6,0
"271","F",19,1,1,0,"secondary education","secondary education",3,2,2,"<15mins","2-5hrs",2,0,1,1,1,1,1,1,0,"good","not sure","very high","not sure","not sure","very high",15,9,9
"272","F",18,1,1,0,"5th-9th grade","secondary education",3,2,1,"<15mins",">10hrs",0,0,1,1,1,1,1,1,1,"good","very high","very high","very low","not sure","low",4,15,14
"273","F",18,1,0,0,"primary education","primary education",3,3,0,"15-30mins","2-5hrs",0,0,1,1,0,0,1,0,0,"good","high","not sure","very low","very low","not sure",2,11,11
"274","M",17,0,1,0,"primary education","5th-9th grade",1,1,0,"<15mins","2-5hrs",0,0,1,1,1,0,1,0,1,"not sure","very high","low","low","low","very low",2,15,14
"275","F",17,1,1,0,"5th-9th grade","higher education",1,4,0,"15-30mins","2-5hrs",0,0,1,1,0,1,1,1,1,"good","not sure","not sure","very low","very low","very low",2,10,10
"276","F",17,1,0,0,"5th-9th grade","5th-9th grade",2,3,0,"15-30mins","2-5hrs",0,1,1,1,0,1,1,1,1,"good","high","high","low","not sure","very high",6,12,12
"277","F",18,0,1,1,"secondary education","5th-9th grade",3,2,0,"15-30mins","2-5hrs",0,0,0,0,0,0,0,1,1,"good","very low","very low","very low","very low","very high",75,10,9
"278","M",18,1,1,0,"higher education","higher education",0,2,0,"15-30mins","<2hrs",0,0,0,1,1,1,1,1,0,"not sure","low","high","very low","high","not sure",22,9,9
"279","F",18,1,1,0,"higher education","higher education",4,4,1,"<15mins","2-5hrs",1,1,1,0,1,1,1,1,1,"bad","high","high","very low","very low","high",15,9,8
"280","M",18,1,0,0,"higher education","secondary education",0,2,0,"15-30mins","<2hrs",0,0,0,1,1,1,1,1,0,"good","low","not sure","very low","low","very low",8,10,10
"281","M",17,1,0,1,"higher education","primary education",2,3,0,"15-30mins","<2hrs",0,0,0,1,1,1,1,1,1,"good","very high","high","low","high","very high",30,8,8
"282","M",17,1,0,1,"secondary education","5th-9th grade",0,2,0,"<15mins","<2hrs",1,0,0,0,0,1,1,1,0,"good","high","high","not sure","high","not sure",19,11,10
"283","F",18,0,0,0,"primary education","primary education",1,3,0,"15-30mins",">10hrs",0,0,1,1,1,1,1,0,0,"excellent","low","low","very low","very low","not sure",1,12,12
"284","F",18,1,1,0,"primary education","primary education",3,3,0,"15-30mins","2-5hrs",0,1,0,0,1,1,1,1,0,"excellent","high","high","very low","very low","high",4,8,10
"285","F",17,1,1,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins","2-5hrs",0,0,1,0,0,0,1,1,0,"excellent","high","very high","very low","low","very high",4,10,11
"286","M",17,1,1,0,"primary education","primary education",3,3,1,"<15mins","2-5hrs",0,0,0,1,0,0,1,1,0,"good","not sure","not sure","very low","low","high",2,12,11
"287","F",18,1,1,0,"5th-9th grade","5th-9th grade",1,1,0,"<15mins","5-10hrs",0,0,1,1,0,1,1,1,0,"good","not sure","not sure","very low","low","low",5,18,19
"288","F",17,1,1,0,"primary education","primary education",2,0,0,"<15mins","5-10hrs",0,0,1,1,0,1,1,1,0,"good","not sure","not sure","very low","very low","not sure",6,13,12
"289","M",18,1,1,0,"5th-9th grade","primary education",2,2,0,"<15mins","5-10hrs",0,0,0,1,1,1,1,1,0,"good","low","high","very low","not sure","low",6,15,14
"290","M",18,1,0,1,"higher education","higher education",0,0,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"excellent","high","not sure","very low","very low","low",9,15,15
"291","M",18,1,1,0,"higher education","5th-9th grade",0,3,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,1,"good","not sure","low","very low","high","very high",11,12,11
"292","F",17,1,1,0,"higher education","secondary education",4,2,0,"<15mins","5-10hrs",0,0,1,1,0,1,1,1,0,"good","low","low","very low","low","not sure",0,15,15
"293","F",18,1,0,0,"5th-9th grade","primary education",2,1,0,"<15mins","2-5hrs",1,0,0,0,0,1,1,1,1,"excellent","high","not sure","very low","very low","very high",12,12,13
"294","F",17,0,0,0,"secondary education","primary education",2,3,0,"15-30mins",">10hrs",0,0,1,1,0,1,1,0,0,"not sure","very low","low","very low","very low","not sure",6,18,18
"295","M",18,0,0,0,"secondary education","5th-9th grade",2,3,0,"15-30mins","5-10hrs",0,0,1,1,1,1,1,1,0,"excellent","high","low","very low","very low","high",8,14,14
"296","M",17,1,1,0,"secondary education","secondary education",4,3,0,"<15mins","<2hrs",0,0,1,1,0,1,1,1,0,"good","high","not sure","very low","not sure","very high",4,14,11
"297","F",19,1,1,0,"higher education","higher education",4,3,2,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,0,"bad","not sure","high","low","not sure","low",0,10,0
"298","F",18,1,0,0,"higher education","secondary education",3,3,2,"15-30mins","2-5hrs",0,0,1,1,0,1,1,1,1,"good","high","very high","very low","low","low",10,10,8
"299","F",18,1,1,0,"higher education","secondary education",3,3,1,"<15mins",">10hrs",0,0,1,1,0,1,1,1,0,"good","not sure","not sure","very low","very low","not sure",0,14,14
"300","M",18,1,0,0,"higher education","higher education",0,0,0,"<15mins","<2hrs",0,0,1,1,0,1,1,1,1,"very bad","high","low","low","low","very low",5,16,16
"301","F",18,1,0,1,"higher education","higher education",4,3,0,"<15mins","2-5hrs",0,0,1,0,0,1,1,1,1,"good","low","high","very low","very low","high",14,12,11
"302","M",17,1,0,0,"higher education","higher education",3,0,1,"15-30mins","<2hrs",0,0,0,1,0,1,1,1,0,"good","very low","very low","low","low","very high",0,11,10
"303","F",17,1,1,0,"higher education","5th-9th grade",3,3,0,"15-30mins","5-10hrs",0,0,1,1,0,1,1,1,0,"good","not sure","not sure","very low","very low","not sure",0,15,14
"304","F",17,1,1,0,"secondary education","5th-9th grade",4,4,1,"<15mins",">10hrs",0,0,1,1,1,0,1,1,0,"excellent","low","low","very low","low","very high",0,17,18
"305","M",19,1,1,0,"secondary education","secondary education",3,3,2,"<15mins","2-5hrs",1,0,1,0,1,1,1,1,1,"good","high","high","very low","very low","not sure",20,15,13
"306","F",18,1,1,0,"5th-9th grade","higher education",2,1,2,"<15mins","2-5hrs",1,0,1,1,1,1,1,1,0,"good","high","not sure","very low","very low","not sure",8,14,12
"307","M",20,1,1,1,"secondary education","5th-9th grade",2,3,2,"<15mins","<2hrs",0,0,0,0,1,1,1,0,0,"excellent","very high","not sure","very low","very low","very high",0,17,18
"308","M",19,1,1,0,"higher education","higher education",0,2,2,"15-30mins","<2hrs",1,0,1,1,0,1,1,1,1,"good","not sure","high","very low","very low","high",38,8,8
"309","M",19,0,1,0,"secondary education","secondary education",3,2,1,"<15mins","2-5hrs",1,0,0,0,1,1,1,0,1,"good","very high","not sure","very low","low","very high",0,15,12
"310","F",19,1,0,0,"primary education","primary education",1,3,2,"<15mins","2-5hrs",1,1,1,0,1,0,1,1,0,"good","high","not sure","very low","not sure","not sure",18,12,10
"311","F",19,1,0,0,"primary education","5th-9th grade",2,2,2,"<15mins","2-5hrs",1,0,0,0,1,0,1,0,1,"good","low","high","low","low","not sure",0,9,0
"312","F",19,1,1,0,"5th-9th grade","primary education",1,3,2,"30mins-1hr","2-5hrs",0,0,1,0,0,1,0,1,1,"not sure","high","very low","very low","very low","low",20,14,13
"313","M",19,1,1,0,"primary education","5th-9th grade",3,2,2,"<15mins","2-5hrs",1,0,0,0,0,0,1,1,0,"good","very high","low","low","low","high",3,13,11
"314","F",19,1,0,0,"secondary education","5th-9th grade",2,3,2,"15-30mins","2-5hrs",1,0,1,1,0,0,1,1,1,"good","low","low","very low","low","very low",22,13,11
"315","F",19,1,1,0,"primary education","primary education",1,4,2,"<15mins","5-10hrs",2,0,0,0,0,0,1,1,1,"good","very low","low","very low","very low","not sure",14,15,13
"316","F",19,0,1,0,"5th-9th grade","secondary education",3,3,2,"<15mins","5-10hrs",1,0,0,0,0,1,1,1,1,"good","very low","low","very low","very low","not sure",40,13,11
"317","F",18,1,1,0,"5th-9th grade","primary education",2,3,0,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,0,"excellent","not sure","not sure","very low","low","very low",0,8,0
"318","F",18,1,1,0,"higher education","secondary education",3,3,0,"<15mins","5-10hrs",0,0,1,1,1,1,1,1,1,"good","not sure","high","very low","very low","very high",9,9,9
"319","F",17,0,1,0,"secondary education","higher education",1,2,1,"<15mins","5-10hrs",0,0,1,1,1,0,1,1,0,"good","not sure","high","low","very high","very high",0,11,10
"320","F",18,1,1,0,"higher education","higher education",0,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"good","high","high","not sure","not sure","very high",2,11,11
"321","F",17,1,1,1,"higher education","secondary education",2,2,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,1,"excellent","low","low","very low","low","very high",23,13,13
